model_name,precision,recall,f1,roc_auc,pr_auc,true_positives,false_positives,false_negatives,true_negatives
random_forest,0.9230769230769231,0.7578947368421053,0.8323699421965318,0.975025293370582,0.8094428016101428,72,6,23,56645
xgboost,0.8505747126436781,0.7789473684210526,0.8131868131868132,0.9775664293564753,0.809392261511264,74,13,21,56638
logistic_regression,0.6756756756756757,0.7894736842105263,0.7281553398058253,0.9670717012474347,0.6937141924901057,75,36,20,56615
